cell_id,centroid_lat,centroid_lng,mean_probability,max_probability,bucket_count,observed_positive_buckets
2289_17982,40.60827443211807,-74.14448294000647,0.3560789759347798,0.521621023617438,64,5
2354_18082,40.83187118616893,-73.94888929497817,0.35496482602967366,0.4997322571176734,48,0
2399_18107,40.88686931716536,-73.8144843344105,0.3541253381662902,0.4991880757596977,60,3
2403_18041,40.73813836844287,-73.80528581033163,0.35358822115815197,0.4977905912629897,82,1
2330_17996,40.63883981661776,-74.0228779739688,0.35027019059272047,0.4893465444546767,56,4
2415_18044,40.74452008677763,-73.76963848291138,0.34987848973428726,0.5154401572516091,50,0
2393_18045,40.7474477977195,-73.83473148598601,0.34987091579944396,0.5212885204474637,59,6
2372_18087,40.84263114184874,-73.8953406980452,0.34926656020307256,0.5068902328029328,69,4
2364_18092,40.85411444872653,-73.9188778679692,0.3483172291054869,0.5053381402260889,53,0
2396_18084,40.83517278338165,-73.82430124296806,0.3474864169521638,0.6741861583561607,53,0
2380_18084,40.83564649039326,-73.87173536799638,0.3474510971748178,0.4389966851854223,71,4
2363_18038,40.73254814573199,-73.92380880688405,0.3471808213354444,0.4962254789167963,69,3
2383_18039,40.73423264683903,-73.86456858349314,0.3458378301733367,0.5531686365689278,67,0
2392_18028,40.709198720411166,-73.83835811065634,0.3457739991460472,0.4679597647667544,50,0
2365_18088,40.845079755351314,-73.91605913188181,0.3457193138361762,0.4948809265879604,61,3
2353_18029,40.71255424360478,-73.9537278256056,0.3442679310105954,0.5234108286058633,69,5
2324_17982,40.60746206506919,-74.04106558049007,0.34389587336200733,0.5434871116669564,62,5
2327_17984,40.61189190700396,-74.03213645381518,0.3419965518462924,0.4689319681130073,50,4
2402_18019,40.68863192409146,-73.80912913766281,0.3410158123209811,0.5457714781764311,68,0
2382_18002,40.65094735698851,-73.86893862972988,0.33786858594682195,0.6459490390150108,47,0
2405_18013,40.67502989704024,-73.80049717071833,0.3369436989495351,0.51776905076431,58,2
2406_18009,40.66599236312255,-73.79770150908872,0.336328733870795,0.445120629572779,63,3
2388_18041,40.73858950340061,-73.84969029087421,0.3339222427401205,0.4820690621397154,76,1
2317_17979,40.60087620861405,-74.06184318295035,0.33200558691442345,0.5505213269699264,91,0
2396_18085,40.837424432120685,-73.82426145730815,0.3307149050611166,0.4329200503427466,64,8
2372_18042,40.74130363234909,-73.89701895916014,0.33059300228882244,0.4800393244028055,62,1
2378_18079,40.8244458656768,-73.87785455181478,0.3305562978760445,0.5787838087274049,73,0
2370_18041,40.73910832079731,-73.90297696683282,0.3291547195883281,0.4904989945379919,80,5
2360_18080,40.82720427174648,-73.93117423590228,0.32732513344339975,0.4424110850533955,86,12
2353_18052,40.76434531294121,-73.95291598015866,0.3230919935925645,0.4678700684808424,87,0
2423_18048,40.753271621738826,-73.74578533145439,0.3216606654125028,0.4390222088954324,71,6
2330_17987,40.61857292315302,-74.02317335399897,0.31938711498998223,0.4216397464935986,71,9
2287_17983,40.61057002120118,-74.15036410528482,0.31816843314042187,0.5643442563129384,56,2
2405_18010,40.66827481563046,-73.80061823137338,0.31742088309371863,0.5180162832248827,52,1
2402_18041,40.73816897543531,-73.80824607756914,0.3173177552511071,0.4076587865828017,74,6
2361_18067,40.79790416779647,-73.92868088875801,0.3167738643919608,0.601030529321806,51,0
2369_18054,40.768409102307096,-73.9054573734452,0.3164862351987646,0.4994631810947781,80,9
2351_18050,40.75989534580775,-73.95890942175234,0.3155510352003247,0.5806085967268096,62,0
2389_18041,40.73855995907543,-73.84672996104806,0.3152425400003512,0.4684894467195593,59,6
2361_18087,40.84293887438106,-73.92795598359885,0.3148082256761618,0.4750890318518163,79,5
2363_18067,40.797848989306495,-73.92275480742514,0.3124412899341485,0.5669265678203541,58,6
2368_18088,40.84499582166959,-73.90716375289632,0.3109693031302825,0.5087158134619101,67,2
2342_18023,40.69933378855677,-73.98648502795992,0.3070686752155027,0.486553777311414,63,3
2380_18079,40.82438804611386,-73.87192620989372,0.3069349186612486,0.461341368912654,76,0
2362_18036,40.72807217087526,-73.92684131055454,0.3059603365973257,0.4124878451736533,60,3
2394_18036,40.72715262136543,-73.83212527669201,0.3057792282555297,0.5202987914247323,68,3
2398_18031,40.71577376165788,-73.82048486645208,0.3013355340696873,0.4296238351518612,52,2
2396_18087,40.84192772685754,-73.82418187248295,0.3012949368121304,0.471856180442065,73,0
2362_18059,40.7798626496274,-73.92600814953457,0.3007520111095222,0.6234060611218412,47,1
2392_18077,40.81953140492171,-73.83643523543621,0.30068961987139436,0.4333186102177084,54,5
2375_18086,40.840293919151776,-73.88648339685547,0.29849344671354494,0.4424792443567371,50,3
2383_18080,40.82655242952486,-73.86299526902141,0.29806233167995533,0.5122066548700844,49,4
2332_17995,40.63653776749809,-74.01699883991883,0.29506300009680403,0.4944291114434657,55,7
2370_18035,40.72559781484389,-73.90319886809203,0.2897575556972949,0.4791689220463911,105,1
2376_17992,40.62860201578175,-73.8870516409725,0.28927615599650386,0.4915077087987958,45,0
2346_18031,40.71724377296087,-73.97437377966946,0.28612695429746604,0.5077481835238867,45,0
2307_17983,40.61012013579562,-74.09126583664205,0.28586906802508544,0.4693366013362713,63,5
2385_18082,40.83099719955947,-73.85698943523042,0.2855827671156332,0.4259388268077844,39,0
2336_18028,40.710747459827154,-74.00406973958692,0.2852742418425398,0.4884087558137296,30,0
2299_17983,40.61030371809863,-74.11490498367566,0.2839723956364478,0.4650761673288879,52,4
2392_18081,40.82853805792488,-73.8362777950608,0.2819228860485456,0.4866818198746586,54,2
2375_18036,40.72770797517056,-73.88836239577722,0.2809270026172013,0.4716128792045742,69,0
