cell_id,target_track,hotspot_score,bucket_count,observed_positive_buckets,top_features,cause_summary,feature_1,feature_1_display_name,feature_1_mean_shap,feature_1_mean_abs_shap,feature_2,feature_2_display_name,feature_2_mean_shap,feature_2_mean_abs_shap,feature_3,feature_3_display_name,feature_3_mean_shap,feature_3_mean_abs_shap
2361_18086,all_crash,0.9018730237878788,66,30,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.19603753387932274,0.19603753387932274,is_night,nighttime conditions,0.10739764997714915,0.1297571354570652,rolling_recent_crash_count,recent crash recurrence,0.037508130769684636,0.0408543199378687
2350_18048,all_crash,0.9006034002439025,82,46,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.16256074063314907,0.16256074063314907,is_night,nighttime conditions,0.1395400171805152,0.16251413795024014,rolling_recent_crash_count,recent crash recurrence,0.04260316448807492,0.04438047681532209
2318_17980,all_crash,0.8992133526363636,110,75,"historic_cell_crash_total, rolling_recent_crash_count, is_night","High predicted risk is mainly driven by long-run cell crash volume, recent crash recurrence, and nighttime conditions.",historic_cell_crash_total,long-run cell crash volume,0.2168728953116512,0.2168728953116512,rolling_recent_crash_count,recent crash recurrence,0.058832656732492244,0.059806950179401526,is_night,nighttime conditions,0.03985563103791329,0.0657347047981337
2353_18091,all_crash,0.8985799557731958,97,59,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.20079894179917354,0.20079894179917354,is_night,nighttime conditions,0.09583504442405255,0.11876426096407033,rolling_recent_crash_count,recent crash recurrence,0.05199918020433981,0.05285600290574027
2409_18009,all_crash,0.8960671256818181,88,65,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.11827872722685656,0.11827872722685656,is_night,nighttime conditions,0.05682421875886862,0.08460902241421463,rolling_recent_crash_count,recent crash recurrence,0.05446933093872764,0.05565665951124021
2411_18043,all_crash,0.8956300605194806,77,34,"historic_cell_crash_total, is_night, prior_cell_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and prior crash history.",historic_cell_crash_total,long-run cell crash volume,0.20767729212709923,0.20767729212709923,is_night,nighttime conditions,0.06362132957706813,0.0882546540539466,prior_cell_crash_count,prior crash history,0.0430590282206527,0.0430590282206527
2351_18025,all_crash,0.895148685308642,81,44,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.15899893836309084,0.15899893836309084,is_night,nighttime conditions,0.12120989967390892,0.14482760971375813,rolling_recent_crash_count,recent crash recurrence,0.03481318186082003,0.03571709026549953
2357_18061,all_crash,0.895128226744186,86,43,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.20247259191760836,0.20247259191760836,is_night,nighttime conditions,0.07844156330543871,0.10315596445124223,rolling_recent_crash_count,recent crash recurrence,0.049051502923562175,0.05206211800707365
2387_18082,all_crash,0.8925354440540542,74,43,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.17998992751368628,0.17998992751368628,is_night,nighttime conditions,0.048382584693674,0.07567649912430295,rolling_recent_crash_count,recent crash recurrence,0.04074267326388248,0.04193144104433324
2350_18023,all_crash,0.8924593349514562,103,56,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.17751728002913822,0.17751728002913822,is_night,nighttime conditions,0.04070677240616829,0.0676256600502334,rolling_recent_crash_count,recent crash recurrence,0.04592895914141792,0.04850927653790702
2371_18042,all_crash,0.8906077154081633,98,45,"historic_cell_crash_total, is_night, prior_cell_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and prior crash history.",historic_cell_crash_total,long-run cell crash volume,0.2111579520539724,0.2111579520539724,is_night,nighttime conditions,0.05394744952176925,0.07889498144435912,prior_cell_crash_count,prior crash history,0.04350147549064636,0.04350147549064636
2363_18088,all_crash,0.8905820176712328,73,33,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.20591992832623074,0.20591992832623074,is_night,nighttime conditions,0.08654480661374148,0.10925341930423207,rolling_recent_crash_count,recent crash recurrence,0.04316900950306201,0.04766299592082908
